id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5023667387,Lili Miao,https://api.openalex.org/works?filter=author.id:A5023667387,34,175,CN
https://openalex.org/A5078032253,Orsolya Vásárhelyi,https://api.openalex.org/works?filter=author.id:A5078032253,4,19,HU
https://openalex.org/A5056886170,Elias Fernández Domingos,https://api.openalex.org/works?filter=author.id:A5056886170,4,17,BE
https://openalex.org/A5026558834,Andreia Sofia Teixeira,https://api.openalex.org/works?filter=author.id:A5026558834,5,38,PT
https://openalex.org/A5081434476,Salvatore Vilella,https://api.openalex.org/works?filter=author.id:A5081434476,4,13,IT
https://openalex.org/A5069816841,Fatima Alqabandi,https://api.openalex.org/works?filter=author.id:A5069816841,1,6,US
https://openalex.org/A5033639139,Tim Althoff,https://api.openalex.org/works?filter=author.id:A5033639139,24,118,US
https://openalex.org/A5000566142,Ourania Kolokotroni,https://api.openalex.org/works?filter=author.id:A5000566142,14,93,CY
https://openalex.org/A5059840085,Morten Mørup,https://api.openalex.org/works?filter=author.id:A5059840085,25,180,DK
https://openalex.org/A5048877432,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5048877432,39,312,IT
https://openalex.org/A5028327260,Daniela Perrotta,https://api.openalex.org/works?filter=author.id:A5028327260,19,86,AR
https://openalex.org/A5061970875,Sam Zhang,https://api.openalex.org/works?filter=author.id:A5061970875,62,639,CN
https://openalex.org/A5058700879,Marc Keuschnigg,https://api.openalex.org/works?filter=author.id:A5058700879,12,75,DE
https://openalex.org/A5013072270,Fabio Giglietto,https://api.openalex.org/works?filter=author.id:A5013072270,12,94,IT
https://openalex.org/A5077513889,Veronika Batzdorfer,https://api.openalex.org/works?filter=author.id:A5077513889,2,10,DE
https://openalex.org/A5081236916,Marco De Nadai,https://api.openalex.org/works?filter=author.id:A5081236916,13,68,US
https://openalex.org/A5071165387,Mirta Galešić,https://api.openalex.org/works?filter=author.id:A5071165387,36,186,AT
https://openalex.org/A5015770363,Kevin Munger,https://api.openalex.org/works?filter=author.id:A5015770363,11,55,US
https://openalex.org/A5080258632,Hasan Alp Boz,https://api.openalex.org/works?filter=author.id:A5080258632,2,10,TR
https://openalex.org/A5087415711,Giorgio Tripodi,https://api.openalex.org/works?filter=author.id:A5087415711,2,2,IT
https://openalex.org/A5057160048,Suyash Fulay,https://api.openalex.org/works?filter=author.id:A5057160048,1,4,US
https://openalex.org/A5031728796,PJ Lamberson,https://api.openalex.org/works?filter=author.id:A5031728796,3,8,US
https://openalex.org/A5032463780,Debora Nozza,https://api.openalex.org/works?filter=author.id:A5032463780,11,66,IT
https://openalex.org/A5080267104,Genki Ichinose,https://api.openalex.org/works?filter=author.id:A5080267104,15,83,JP
https://openalex.org/A5084860941,Michel Dubois,https://api.openalex.org/works?filter=author.id:A5084860941,23,176,FR
https://openalex.org/A5054052605,Erkan Güneş,https://api.openalex.org/works?filter=author.id:A5054052605,4,35,TR
https://openalex.org/A5028792261,Lian van der Krieke,https://api.openalex.org/works?filter=author.id:A5028792261,17,51,NL
https://openalex.org/A5001227032,Fausto Giunchiglia,https://api.openalex.org/works?filter=author.id:A5001227032,42,542,IT
https://openalex.org/A5046625747,Oh-Hyun Kwon,https://api.openalex.org/works?filter=author.id:A5046625747,13,57,KR
https://openalex.org/A5042955432,Wenna Chen,https://api.openalex.org/works?filter=author.id:A5042955432,19,108,CN
https://openalex.org/A5072574591,Marcelo Silva,https://api.openalex.org/works?filter=author.id:A5072574591,31,379,BR
https://openalex.org/A5046011683,Ian Barnett,https://api.openalex.org/works?filter=author.id:A5046011683,18,97,US
https://openalex.org/A5091326079,Dustin Wright,https://api.openalex.org/works?filter=author.id:A5091326079,6,22,DK
https://openalex.org/A5044060426,Caroline C. Murray,https://api.openalex.org/works?filter=author.id:A5044060426,2,2,US
https://openalex.org/A5071988241,Vasanth Sarathy,https://api.openalex.org/works?filter=author.id:A5071988241,6,35,US
https://openalex.org/A5005840933,Bennard Doornbos,https://api.openalex.org/works?filter=author.id:A5005840933,16,52,NL
https://openalex.org/A5088335237,Xinran Wang,https://api.openalex.org/works?filter=author.id:A5088335237,81,883,CN
https://openalex.org/A5059787882,Michele Tizzoni,https://api.openalex.org/works?filter=author.id:A5059787882,26,100,IT
https://openalex.org/A5007675088,Sukrit Venkatagiri,https://api.openalex.org/works?filter=author.id:A5007675088,5,15,US
https://openalex.org/A5025141355,Jacob Beck,https://api.openalex.org/works?filter=author.id:A5025141355,32,136,NL
https://openalex.org/A5077517761,Shima Saniei,https://api.openalex.org/works?filter=author.id:A5077517761,1,3,AU
https://openalex.org/A5046475081,Fabrizio Gilardi,https://api.openalex.org/works?filter=author.id:A5046475081,25,112,CH
https://openalex.org/A5081429241,Jake M. Hofman,https://api.openalex.org/works?filter=author.id:A5081429241,25,70,US
https://openalex.org/A5067953991,Aliakbar Akbaritabar,https://api.openalex.org/works?filter=author.id:A5067953991,7,39,DE
https://openalex.org/A5013262618,D. Sunshine Hillygus,https://api.openalex.org/works?filter=author.id:A5013262618,24,102,US
https://openalex.org/A5017100408,Ké Li,https://api.openalex.org/works?filter=author.id:A5017100408,107,6002,CN
https://openalex.org/A5064591138,Angelita Repetto,https://api.openalex.org/works?filter=author.id:A5064591138,1,4,US
https://openalex.org/A5010352723,Alexandros Gelastopoulos,https://api.openalex.org/works?filter=author.id:A5010352723,2,13,DK
https://openalex.org/A5049607869,Bahador Bahrami,https://api.openalex.org/works?filter=author.id:A5049607869,31,117,GB
https://openalex.org/A5076651767,Ziv Epstein,https://api.openalex.org/works?filter=author.id:A5076651767,12,56,US
https://openalex.org/A5003420852,Saeedeh Mohammadi,https://api.openalex.org/works?filter=author.id:A5003420852,7,65,IR
https://openalex.org/A5075684861,Pádraig Mac Carron,https://api.openalex.org/works?filter=author.id:A5075684861,9,21,IE
https://openalex.org/A5077515904,Erjian Liu,https://api.openalex.org/works?filter=author.id:A5077515904,3,15,CN
https://openalex.org/A5047948208,Sky CH-Wang,https://api.openalex.org/works?filter=author.id:A5047948208,1,15,US
